LOCATION,Country,TIME,Business enterprise,Government,Higher Education,Private non-profit,Rest of the world,Not specified source,Basic research,Applied research,Experimental development,Not specified activities,Medical and health sciences
KGZ,Kyrgyzstan,1998,2678.71681,9282.06521,602.19215,,2388.00335,,,,,,
KGZ,Kyrgyzstan,1999,4015.09851,6620.3151,536.36812,,2268.07091,,,,,,
KGZ,Kyrgyzstan,2000,2982.32926,5249.88539,246.47349,,4116.10733,,,,,,
KGZ,Kyrgyzstan,2001,6047.87555,6200.54037,105.69103,,2560.07159,,,,,,
KGZ,Kyrgyzstan,2002,9197.67717,8017.28912,23.37402,,210.36619,,,,,,
KGZ,Kyrgyzstan,2003,11498.74406,9664.4479,22.9287,,229.28702,,,,,,
KGZ,Kyrgyzstan,2004,9671.71275,11240.7044,,,156.89916,,,,,,
KGZ,Kyrgyzstan,2005,7871.69974,13767.3761,,,3.23938,,,,,,1522.50983
KGZ,Kyrgyzstan,2006,,,,,,,,,,,1973.78799
KGZ,Kyrgyzstan,2007,,,,,,,,,,,2873.17035
KGZ,Kyrgyzstan,2008,,,,,,,,,,,2457.69493
KGZ,Kyrgyzstan,2009,,,,,,,,,,,1961.54921
KGZ,Kyrgyzstan,2010,,,,,,,,,,,2040.98819
KGZ,Kyrgyzstan,2011,9714.6284,14518.44175,360.42679,,219.63508,366.05846,,,,,2506.09254
KGZ,Kyrgyzstan,2013,1393.24223,25022.00864,201.01262,,914.73267,15.51802,,,,,
KGZ,Kyrgyzstan,2014,1816.59328,22162.88514,48.64397,,233.27241,256.9257,,,,,2655.72869
KGZ,Kyrgyzstan,2015,2144.99356,22080.40566,61.77718,,248.53305,204.8907,,,,,2683.85764
KHM,Cambodia,2002,,1416.76515,,3397.43791,2247.39578,839.31908,,,,,
KHM,Cambodia,2015,12499.14409,15106.95642,39.39741,14184.31933,22458.38958,,8707.06932,42566.48418,13014.59453,,12432.61252
KOR,Republic of Korea,1996,11118591.05,3007239.886,460438.8127,245583.1118,18614.19265,,1964517.455,3996242.59,8889708.378,,
KOR,Republic of Korea,1997,11780920.34,3726651.099,589103.6594,147280.2514,15739.56862,,2156905.331,4630816.996,9471971.257,,
KOR,Republic of Korea,1998,10104115.11,3789990.617,653310.44,57671.62054,10871.12368,,2043965.931,3672431.121,8899561.855,,
KOR,Republic of Korea,1999,11047976.77,3932606.499,607668.9256,194660.708,9725.88207,,2153254.918,4060439.19,9578944.681,,
KOR,Republic of Korea,2000,13414071.6,4436987.624,609275.0881,61733.28414,11034.07678,,2336812.706,4510105.613,11686183.36,,
KOR,Republic of Korea,2001,15415325.38,5309624.189,367101.6411,82967.23169,99995.93675,,2674173.58,5382551.153,13218290.97,,
KOR,Republic of Korea,2002,16250073.28,5712269.607,356574.5115,88767.86716,99090.40704,,3083037.117,4889243.863,14534496,,
KOR,Republic of Korea,2003,17816571.89,5742432.658,324207.9555,88954.10411,99547.90597,,3482398.031,5016647.405,15572670.34,,
KOR,Republic of Korea,2004,20946477.14,6465381.67,284744.7413,109190.7494,136559.6367,,4281531.773,5934948.033,17725874.13,,
KOR,Republic of Korea,2005,22951390.51,7049806.379,277333.6492,122494.275,217300.8298,,4698624.405,6381063.148,19538638.09,,1071787.09
KOR,Republic of Korea,2006,26717865.46,8170548.815,294400.9347,123713.7816,106541.3568,,5365596.826,7032053.41,23015420.11,,3326754.956
KOR,Republic of Korea,2007,29932504.62,10077119.46,399974.3697,140169.8889,90503.43114,,6386199.591,8063862.29,26190209.89,,3646269.532
KOR,Republic of Korea,2008,31999626.61,11156177.38,441798.4472,173747.1546,135063.2026,,7047173.899,8621248.838,28237990.05,,4491880.908
KOR,Republic of Korea,2009,32689752.1,12598285.77,414229.3109,190026.4375,94958.70719,,8304338.33,9183611.743,28499302.25,,4861370.172
KOR,Republic of Korea,2010,37462255.93,13954546.36,444533.47,198441.2618,113001.5951,,9506675.908,10400885.17,32265217.55,,5648744.588
KOR,Republic of Korea,2011,43032913.61,14538278.76,420542.166,257062.7289,130856.8772,,10546877.98,11837944.95,35994831.22,,6345400.839
KOR,Republic of Korea,2012,48471647.74,15469312.37,391424.8656,307567.285,222536.3134,,11876784.12,12367306.1,40618398.36,,7317152.856
KOR,Republic of Korea,2013,51741505.06,15610191.79,495910.1461,313295.2116,207537.1156,,12296628.26,13046153.22,43025657.85,,8049649.405
KOR,Republic of Korea,2014,55151095.42,16812709.23,480856.5368,254102.7182,517916.216,,12915307.87,13852597.69,46448774.56,,8648135.568
KOR,Republic of Korea,2015,55326248.62,17562273.72,477870.8048,293378.0183,557941.9053,,12784176.71,15465869.95,45967666.42,,3614819.207
KWT,Kuwait,1997,42579.82122,166060.1994,,,,,,,,,
KWT,Kuwait,1998,55517.8526,219055.8917,,,,,,,,,
KWT,Kuwait,1999,37981.01887,171800.1527,,,,,,,,,
KWT,Kuwait,2000,29734.59735,112818.583,,,,,,,,,
KWT,Kuwait,2001,42036.13418,167345.7659,,,,,,,,,
KWT,Kuwait,2002,44087.0401,176350.2735,,,,,,,,,
KWT,Kuwait,2003,9253.88246,199064.105,58.54184,,1856.67997,,,,,,
KWT,Kuwait,2004,12960.10862,202302.7663,,,1685.0387,,,,,,
KWT,Kuwait,2005,13933.68622,176284.0811,,815.93065,,,,191033.698,,,
KWT,Kuwait,2006,11708.66951,166324.0486,,,,,,178029.2624,,,
KWT,Kuwait,2007,4630.29422,191527.8464,,,,,,196158.1406,,,
KWT,Kuwait,2008,5376.59059,198026.2412,,,733.37495,,,204136.2068,,,
KWT,Kuwait,2009,5848.33181,242011.9178,,,2947.46312,,,250807.7127,,,
KWT,Kuwait,2010,11614.42666,212349.6995,,27.98815,,,,223992.1143,,,
KWT,Kuwait,2011,12683.453,231877.747,,103.59428,,,,244664.7942,,,
KWT,Kuwait,2013,11744.08016,773215.5616,1397.76473,45509.07233,,,,,,,
LAO,Lao People's Democratic Republic,2002,1540.1365,342.32501,85.41824,,2309.5527,,,,,,
LKA,Sri Lanka,1996,1903.13708,60761.53109,24414.06324,,28089.64987,,,,,,
LKA,Sri Lanka,2000,9184.22551,61403.10769,21976.53961,4.59211,5379.33208,20795.71062,,,,,
LKA,Sri Lanka,2004,1075.37402,126260.6947,,,42317.68627,17309.10236,,,,,
LKA,Sri Lanka,2006,41454.10338,141926.0949,,,10497.45449,23775.52268,,,,,
LKA,Sri Lanka,2008,33685.76774,121604.2795,,,7233.71666,6835.45962,53048.37387,67891.58468,48418.25839,,29360.97146
LKA,Sri Lanka,2010,94551.37019,129149.1635,431.09727,8.15874,6293.54646,594.79844,25181.29185,113227.7779,92619.06483,,13122.93789
LKA,Sri Lanka,2013,89454.39523,118468.1065,,,11055.11625,905.68366,21813.03728,125487.098,72583.62113,,20564.22617
LSO,Lesotho,2009,40.31601,178.59716,33.39084,,,941.30248,,,,,
LSO,Lesotho,2011,,,267.65648,,20.64779,310.99134,,,,,
LSO,Lesotho,2015,25.99919,3029.9549,,11.26632,260.31256,,1043.99427,1703.54187,579.99682,,
LTU,Lithuania,1996,,,,,,,44596.02225,46994.47173,21358.97321,,14002.78199
LTU,Lithuania,1997,,,,,,,55668.60716,59736.0348,20128.16551,,16597.17297
LTU,Lithuania,1998,,,,,,,69765.18194,64799.92175,15109.27194,,18256.68464
LTU,Lithuania,1999,,,,,,,77053.49433,47779.49834,13546.27059,,16974.58078
LTU,Lithuania,2000,54585.17578,106761.1084,,,11617.02096,,72193.22564,62779.6998,37983.74267,,13181.14852
LTU,Lithuania,2001,81309.94863,123373.2885,,,14558.51596,,77332.70568,65470.46858,76473.32471,,16691.91185
LTU,Lithuania,2002,66085.06894,154402.9006,,,16796.97821,,97059.77108,86183.44842,54036.97462,,23611.31761
LTU,Lithuania,2003,45756.68382,176507.0198,13032.01386,286.79826,37807.92181,,96955.11731,103900.0854,72537.70717,,30361.05675
LTU,Lithuania,2004,65949.16442,208619.6811,19861.29682,910.35974,35248.06682,,118262.2507,121338.6388,90987.67952,,37484.12286
LTU,Lithuania,2005,75206.33087,226352.0515,20431.43239,799.70065,37935.22504,,125056.636,131178.4823,104489.6222,,41198.37137
LTU,Lithuania,2006,111707.9738,228733.3484,22705.34619,2401.1178,61172.50762,,137914.2035,165094.7674,123709.0831,,39958.90066
LTU,Lithuania,2007,162084.0078,231715.459,800.70328,2644.23232,96757.6642,,152365.1266,183305.8306,158331.1094,,36352.35377
LTU,Lithuania,2008,153264.2784,285783.0022,1410.22697,1527.91497,81099.21068,,176536.0671,203508.9405,143039.6257,,48071.4922
LTU,Lithuania,2009,146844.1702,251123.7308,15321.55302,1358.73998,62024.24037,,166489.3746,170813.026,139367.9007,,46950.11881
LTU,Lithuania,2010,158230.112,224844.6533,7151.73145,903.14245,97348.07836,,164027.1298,176784.573,147663.7903,,45806.67313
LTU,Lithuania,2011,176621.7539,264099.5199,6215.69434,960.3458,177648.4831,,238466.6956,219817.3998,167266.1271,,55498.69342
LTU,Lithuania,2012,174479.2438,261689.0418,3262.96665,1022.85278,218691.6687,,209094.9679,293039.59,157013.4251,,50289.8936
LTU,Lithuania,2013,206158.5171,259250.8202,979.80438,5623.71591,278474.4015,,231723.7355,342552.2533,176213.528,,74801.5172
LTU,Lithuania,2014,278349.0854,281555.8981,1465.64891,1625.98955,288001.14,,234022.8037,388256.9454,228715.7545,,73957.68283
LTU,Lithuania,2015,244120.2443,310360.7378,12852.70029,2715.5495,301353.9401,,,,,,
LUX,Luxembourg,2000,345023.7125,29170.18661,,,6273.15841,,,,,,
LUX,Luxembourg,2003,354405.7931,49179.88657,207.07321,517.68302,36548.42096,,,,,,
LUX,Luxembourg,2005,397627.5488,82843.4755,211.3354,317.0031,17752.17332,,,,,,
LUX,Luxembourg,2007,487389.3295,116943.0924,108.38099,433.52398,36307.63295,,,,,,
LUX,Luxembourg,2009,483247.5513,166848.1358,243.93002,465.68459,36944.31078,,,,,,
LUX,Luxembourg,2010,283961.0532,229624.4504,4096.64843,890.76398,134854.9559,,,,,,
LUX,Luxembourg,2011,316043.8803,233997.6069,3652.6391,8143.86051,135791.7753,,,,,,
LUX,Luxembourg,2012,112341.3359,279031.5288,5693.71078,8820.12373,213223.5689,,,,,,
LUX,Luxembourg,2013,111811.2349,327637.8089,11718.99893,7021.11365,219025.2056,,,,,,
LVA,Latvia,1996,9965.59801,31757.16079,,1342.75244,13561.49513,,,,,,
LVA,Latvia,1997,8110.25566,34101.06777,,,15554.15518,,,,,,
LVA,Latvia,1998,14330.18089,34259.45911,,,15900.41789,,,,,,
LVA,Latvia,1999,13854.95791,35017.00199,,,13454.183,,,,,,
LVA,Latvia,2000,24351.67245,34321.65093,,,24038.7259,,24431.98616,30776.76969,23642.6962,,3243.01245
LVA,Latvia,2001,15581.35631,42630.2731,,,27088.6362,,26682.93082,26402.05786,26402.05786,,3367.63837
LVA,Latvia,2002,20656.39685,40603.56119,,,33863.0819,,28751.62104,32391.97853,33984.98124,,3989.43287
LVA,Latvia,2003,30174.02044,42160.70683,,,18488.38763,,29112.41041,40980.25986,20714.59971,,6023.71264
LVA,Latvia,2004,51227.4555,34555.56135,,,24936.48682,,32515.07573,37126.8236,41035.04206,,3582.74223
LVA,Latvia,2005,56318.70955,75541.53616,2008.69532,,30317.39123,,33062.53217,79073.2831,52050.517,,5759.32393
LVA,Latvia,2006,119852.8607,86981.33987,3489.96679,,17163.60352,,38690.17666,83489.32858,105308.2657,,8145.30035
LVA,Latvia,2007,80273.26693,110248.0013,2008.55253,,28126.7954,,52416.51417,117431.4888,50976.2867,,19887.84705
LVA,Latvia,2008,66502.56111,116441.5973,6180.26414,,56861.21005,,79606.73657,102845.7112,63536.65982,,23734.16028
LVA,Latvia,2009,60416.15282,73263.66328,4920.36403,,25149.38118,,45653.13946,76543.26555,41553.15631,,15308.65311
LVA,Latvia,2010,87520.52013,59419.48814,3219.48134,,75226.83293,,70836.81812,82544.21,72007.35159,,16683.70201
LVA,Latvia,2011,70500.82383,63935.19013,4567.65901,,144712.7452,,83345.23342,140716.7959,59654.38893,,31397.89144
LVA,Latvia,2012,68154.81608,68702.03011,5622.27845,,144707.4908,,92868.34504,148300.9288,46009.43961,,
LVA,Latvia,2013,60943.89072,66958.09046,7417.51302,,144340.7938,,68160.93041,157972.9799,53526.3777,,
LVA,Latvia,2014,91375.18651,84113.58229,7665.02668,,145232.0845,,96619.67845,143214.9722,88551.22931,,
LVA,Latvia,2015,61881.03683,100708.3541,6875.67076,,138524.5432,,,,,,
MAC,"China, Macao Special Administrative Region",2005,56.60805,21375.68057,2432.84471,96.03151,,337.99674,,,,,3957.09326
MAC,"China, Macao Special Administrative Region",2006,130.95111,16367.05974,9024.89405,637.05947,,699.13193,,,,,11081.1173
MAC,"China, Macao Special Administrative Region",2007,15.41019,19308.96723,1245.65697,600.99738,128.41824,339.02417,,,,,4456.11308
MAC,"China, Macao Special Administrative Region",2008,73.74045,37191.35528,2604.70317,556.6215,,114.17877,,,,,7704.68818
MAC,"China, Macao Special Administrative Region",2013,,37348.38074,3354.55846,543.92301,,,,,,,7594.12924
MAC,"China, Macao Special Administrative Region",2014,,65291.16006,2758.17681,2246.26308,,322.76514,,,,,6067.81415
MAC,"China, Macao Special Administrative Region",2015,,76070.79843,5442.38562,408.66755,,5310.90128,,,,,16568.80376
MAR,Morocco,2002,135450.7236,232674.2999,258292.9886,,,,,,,,
MAR,Morocco,2003,99948.15366,327305.6682,384728.0777,,,,,,,,
MAR,Morocco,2006,226159.6145,260251.8463,483729.6834,,26046.89943,,,,,,
MAR,Morocco,2010,444162.7196,342221.1753,671832.9624,,25393.42884,,,,,,
MDA,Republic of Moldova,1997,28679.78001,26677.49398,107.8333,,345.22173,,,,,,
MDA,Republic of Moldova,2003,,,,,532.2474,27489.01281,,,,,
MDA,Republic of Moldova,2004,,,,,297.90321,33007.67612,,,,,
MDA,Republic of Moldova,2005,,,,,1602.90181,40606.84592,,,,,4415.01026
MDA,Republic of Moldova,2006,,,,,1226.6694,45233.434,,,,,4983.34442
MDA,Republic of Moldova,2007,,,,,1765.5449,64216.03691,,,,,6066.23119
MDA,Republic of Moldova,2008,,,,,2661.90452,68406.72096,,,,,7182.91696
MDA,Republic of Moldova,2009,,,,,4291.91314,61878.55347,,,,,7417.0926
MDA,Republic of Moldova,2010,,,,,4423.96066,55612.79296,,,,,6341.64317
MDA,Republic of Moldova,2011,,,,,5636.90629,54616.56317,,,,,6504.12264
MDA,Republic of Moldova,2013,,,,,6989.31417,52253.44406,,,,,5824.42848
MDA,Republic of Moldova,2014,,,,,8455.61308,57660.59315,,,,,6879.14285
MDA,Republic of Moldova,2015,,,,,7711.33691,58532.71921,,,,,7153.183
MDG,Madagascar,2001,,31557.29722,,,11143.58372,,,,,,
MDG,Madagascar,2002,,35353.21053,,,7246.06503,,,,,,
MDG,Madagascar,2003,,40650.55777,,,25097.32767,,,,,,
MDG,Madagascar,2004,,39649.08993,,,7318.11735,,,,,,
MDG,Madagascar,2005,,35739.77818,,,4079.32012,,25008.65097,14810.44732,,,3619.91557
MDG,Madagascar,2006,,32468.76929,,,7734.94691,,21609.36032,18594.35588,,,4000.42635
MDG,Madagascar,2007,,34455.08873,,,3142.83997,,23107.39677,14490.55141,,,3889.54326
MDG,Madagascar,2008,,34802.78934,,,4411.97562,,26003.13365,13211.63132,,,2930.93104
MDG,Madagascar,2009,,37148.28984,,,4397.01126,,27211.53552,14333.76558,,,3496.26732
MDG,Madagascar,2010,,32519.49085,,,,,13871.82631,14392.6346,,4255.02994,2223.50838
MDG,Madagascar,2011,,31483.8534,,,,,13731.13754,13746.18066,,4006.5352,2220.4155
MEX,Mexico,1996,404676.8209,1390273.984,168692.8867,45516.50465,72262.76848,,,,,,
MEX,Mexico,1997,425289.8727,1786663.132,216194.1875,22122.51647,63909.49203,,,,,,
MEX,Mexico,1998,689367.0742,1776319.842,234806.8712,3296.81124,219754.9422,,,,,,
MEX,Mexico,1999,826438.1833,2147236.704,340522.2528,3776.04652,187037.0469,,,,,,
MEX,Mexico,2000,992597.9777,2119156.066,200849.9074,19216.86752,30999.71199,,,,,,
MEX,Mexico,2001,1084621.716,2146530.833,329158.2017,28517.63343,46059.62596,,,,,,
MEX,Mexico,2002,1447070.104,2313655.941,343528.5458,34913.1185,32087.2326,,,,,,
MEX,Mexico,2003,1527306.571,2469844.008,337128.3454,34384.09195,33273.73693,,1120164.385,1363442.436,1918325.814,,462995.9849
MEX,Mexico,2004,1845462.323,2405837.099,355816.2156,37238.98066,134608.6183,,,,,,
MEX,Mexico,2005,2219191.42,2629405.901,389850.1192,49853.21731,57850.2853,,,,,,
MEX,Mexico,2006,2469986.171,2717686.401,177333.2439,7682.69091,89379.65983,,,,,,
MEX,Mexico,2007,2590618.486,3636887.745,254224.0357,110575.5876,78546.47851,,1347915.457,2315504.451,3007432.425,,
MEX,Mexico,2008,2579242.849,4522235.931,440952.6594,124315.0173,118682.1343,,,,,,
MEX,Mexico,2009,2860734.395,4764589.01,511929.7974,199565.6753,122719.9467,,2169462.007,2670797.35,3619279.468,,
MEX,Mexico,2010,3052228.958,5792282.692,256381.0867,146990.8423,43208.48142,,2749327.739,2564397.217,3977367.104,,
MEX,Mexico,2011,3159827.306,6159020.062,249170.3064,151466.4448,55798.81071,,2955647.019,2658710.731,4160925.18,,
MEX,Mexico,2012,2399446.321,6645212.165,313670.6441,405167.3634,35493.36609,,2853762.73,2849995.572,4095231.684,,
MEX,Mexico,2013,2158338.079,7278768.705,362546.1353,456866.4188,40193.281,,2897258.757,3090942.485,4308511.505,,
MEX,Mexico,2014,2339271.804,8315655.861,392938.3207,495165.5565,43562.68712,,3286784.971,3493939.615,4805869.893,,
MEX,Mexico,2015,2450078.035,8475523.412,411551.0122,518620.5294,45626.19239,,3362043.477,3580527.387,4958828.198,,
MKD,The former Yugoslav Republic of Macedonia,1997,5516.78066,24220.88755,6357.41468,,1355.6103,,,,,,
MKD,The former Yugoslav Republic of Macedonia,1998,8463.05118,30420.7744,4253.9273,,1485.97112,,,,,,
MKD,The former Yugoslav Republic of Macedonia,1999,4645.26784,30176.38301,850.51019,,2212.7026,,,,,,
MKD,The former Yugoslav Republic of Macedonia,2000,4026.35762,41618.05405,1860.66602,1042.88885,3634.95489,,,,,,
MKD,The former Yugoslav Republic of Macedonia,2001,3620.18533,25436.37614,2498.16704,1211.61933,3414.37682,,,,,,
MKD,The former Yugoslav Republic of Macedonia,2002,2460.93724,24115.69609,2316.14684,5.99546,2703.30379,,,,,,
MKD,The former Yugoslav Republic of Macedonia,2005,,,,,,,,,,,3437.6847
MKD,The former Yugoslav Republic of Macedonia,2006,,,,,,,,,,,4408.69849
MKD,The former Yugoslav Republic of Macedonia,2007,,,,,,,,,,,5251.34093
MKD,The former Yugoslav Republic of Macedonia,2008,,,,,,,,,,,12610.51438
MKD,The former Yugoslav Republic of Macedonia,2015,21754.35947,68532.76126,32388.66341,188.03288,6795.29932,,,,,,30106.15318
MLI,Mali,2007,5076.75797,20535.59792,,,24649.19747,,,,,,
MLI,Mali,2010,,147146.6485,,,14214.3652,,,,,,
MLT,Malta,2002,3602.38284,11609.77865,,,4203.92577,,,,,,
MLT,Malta,2005,22267.02551,12312.95098,181.58634,40.15852,12779.139,,17091.81469,17659.27202,4183.47002,8646.30364,10481.37333
MLT,Malta,2006,24971.97245,14667.38358,,,15010.11215,,19376.40409,19647.43943,4761.47896,10865.89432,13137.34536
MLT,Malta,2007,28793.3079,14284.15263,,,12434.91209,,22213.73822,18418.57633,7657.12144,7222.93664,9557.33914
MLT,Malta,2008,32315.37454,15673.04413,,61.2365,9134.73581,,23598.79652,18071.76522,9670.11776,5843.71148,9526.6494
MLT,Malta,2009,28796.18961,16757.63116,,29.8898,10260.99417,,23611.18758,16342.69034,10289.12575,5599.94284,9118.14869
MLT,Malta,2010,36789.19637,24589.71545,915.26732,91.00172,8664.41401,,31337.84319,18636.10276,13447.25454,7626.64436,15587.54505
MLT,Malta,2011,40142.8968,23587.9578,1708.61601,240.35577,14780.13807,,33709.02571,19197.11075,15473.33804,12080.48994,18387.21631
MLT,Malta,2012,44909.04084,34069.46286,1367.88436,327.74026,22372.58535,,57378.69539,18189.58462,16195.54386,11282.88981,29734.66664
MLT,Malta,2013,40642.74248,36196.98213,1436.85588,202.78907,23875.37966,,59833.17469,22119.60764,9759.87389,10647.29272,24979.45348
MLT,Malta,2014,48253.98416,32303.71428,1327.90243,169.84799,21809.16755,,58818.87196,24773.78693,10371.02091,9900.93659,21285.89851
MLT,Malta,2015,49833.09771,37604.52663,1338.12643,138.6573,24021.12343,,,,,,
MNE,Montenegro,2011,9604.64037,13096.21858,,,5553.83757,,,,,,2119.96658
MNE,Montenegro,2013,14644.93636,10957.58006,1209.87082,5.49941,7792.66798,,,,,,
MNE,Montenegro,2014,9928.7398,16205.21082,1449.26903,11.08428,7204.77909,,,,,,
MNE,Montenegro,2015,11334.60624,21937.465,2440.82048,8.68032,2243.59325,,,,,,2598.45439
MNG,Mongolia,1997,,13130.3613,,,,,,,,,
MNG,Mongolia,1998,,13599.13437,,,,,,,,,
MNG,Mongolia,1999,,12839.99596,,,,,,,,,
MNG,Mongolia,2000,,16592.31312,,,,,,,,,
MNG,Mongolia,2001,,24915.95121,,,,,,,,,
MNG,Mongolia,2002,,24934.61042,,,,,,,,,
MNG,Mongolia,2003,1296.71731,24647.67629,599.89429,,244.68595,431.45106,,,,,
MNG,Mongolia,2004,2419.41161,28616.60688,681.74429,,748.87789,436.62859,,,,,
MNG,Mongolia,2005,3358.52723,25177.99617,273.28008,,1424.09784,2108.41621,,,,,2258.25063
MNG,Mongolia,2006,2377.09481,23126.60044,230.90698,,508.67561,2860.45002,,,,,2130.31533
MNG,Mongolia,2007,1112.18593,29822.91823,180.38266,,588.06831,9343.05695,12310.8556,20026.64551,2476.69905,6232.41192,2411.70568
MNG,Mongolia,2008,1247.98769,44507.08682,679.28813,,1110.2626,16855.56626,24789.05639,32399.24272,1620.89587,5590.99652,4064.64076
MNG,Mongolia,2009,1680.99836,35682.09195,1139.62565,,836.45693,18658.73532,22333.14018,27284.60718,2476.74406,5903.41678,3769.68646
MNG,Mongolia,2010,3625.03582,30608.38041,746.72,,2122.5663,12964.49554,16052.59012,23425.71516,2146.925,8441.7578,3904.95083
MNG,Mongolia,2011,6421.76261,37053.08436,717.33544,,2178.81564,10172.83307,15786.59261,26960.86542,2088.33419,11708.03889,4350.18425
MNG,Mongolia,2013,6145.52461,54715.10575,1354.23651,,3621.97676,8152.47722,18497.49621,40751.43002,6145.52461,8594.87,7239.47148
MNG,Mongolia,2014,5835.72698,59180.99284,2499.63298,,2224.11509,8346.68262,20933.06987,46087.28781,7701.44864,3365.34419,6629.41353
MNG,Mongolia,2015,4111.96969,44811.63763,5419.73394,,,1631.50077,26214.37345,17921.65373,10207.31409,1631.50077,4986.41784
MOZ,Mozambique,2002,,14972.64332,,,28151.34269,,,,,,
MOZ,Mozambique,2008,,8959.27934,,1309.83222,18515.52953,,2627.74982,19842.88009,1772.04668,4541.9645,3746.22796
MOZ,Mozambique,2010,,17337.28365,,2779.01814,71907.09449,,25181.69396,56988.81981,9852.88251,,21297.38451
MOZ,Mozambique,2015,530.72107,48930.00359,14986.39111,,44871.28323,3189.96039,30531.10981,57340.97475,24636.27484,,32153.69652
MUS,Mauritius,1997,,23340.8826,,,,,,,,,
MUS,Mauritius,1998,,23482.94569,,,,,,,,,
MUS,Mauritius,1999,,29332.90144,,,,,,,,,
MUS,Mauritius,2000,,30118.95822,,,,,,,,,
MUS,Mauritius,2001,,40311.96681,,,,,,,,,
MUS,Mauritius,2002,,42366.69524,,,,,,,,,
MUS,Mauritius,2003,,40512.34482,,,,,,,,,
MUS,Mauritius,2004,,49390.33208,,,,,,,,,
MUS,Mauritius,2005,,50655.88882,,,,,,,,,
MUS,Mauritius,2012,105.99489,28144.76098,8055.61169,43.64495,2500.23242,,1914.14303,6203.8186,30738.5183,,1714.62323
MYS,Malaysia,1998,610625.3216,316293.8615,32193.88161,,36692.20479,,,,,,
MYS,Malaysia,2002,1107119.479,691583.9615,105669.417,,247479.8399,,,,,,
MYS,Malaysia,2004,1668168.087,503489.1485,161571.1007,,8646.77144,,,,,,
MYS,Malaysia,2006,2384709.652,68961.61435,185213.4042,,5495.25771,178092.7886,318415.3552,1273351.829,1230705.533,,62282.16731
MYS,Malaysia,2008,2863936.102,1321958.656,32019.51417,,4685.78256,87467.94114,533043.2647,3259884.728,517140.0026,,94922.59521
MYS,Malaysia,2009,3715513.756,1470645.744,221195.6035,,12577.3462,2560.65731,789510.8994,4414874.456,218107.752,,208467.6304
MYS,Malaysia,2010,3589078.681,2193675.804,213740.9559,,21444.87074,5520.46178,1078613.301,4106798.91,838048.5626,,254932.0938
MYS,Malaysia,2011,3551566.027,2672086.25,202909.4296,,19804.3989,10279.09978,1108977.811,4288646.008,1059021.386,,290692.9417
MYS,Malaysia,2012,4414396.77,2176354.122,183458.8581,,336859.4851,222292.7105,2527427.35,3702932.209,1102985.058,,235421.593
MYS,Malaysia,2014,672395.4986,1200660.987,371072.63,,16356.41305,7468112.593,1646719.659,7347712.96,734165.5029,,569884.1691
MYS,Malaysia,2015,1210229.705,3798507.936,742257.0766,,178810.8261,4707813.828,2226954.901,7497663.966,913000.5053,,852212.4538
NAM,Namibia,2010,5059.93003,20065.23977,,,392.58078,,,,,,
NAM,Namibia,2014,9026.85033,51421.23624,4883.81367,3148.21402,12859.41402,,15826.72342,39592.00217,21618.53994,4302.26276,1579.11014
NGA,Nigeria,2007,2182.84148,1324762.897,1124.40324,23735.40271,14230.44735,8812.32296,497732.834,521447.2478,358693.6275,,142133.5642
NLD,Netherlands,1996,3392357.169,2904157.853,4005.46862,167239.9011,532762.6368,,,,,,
NLD,Netherlands,1997,3411625.828,2927102.703,13472.78227,179138.9603,955075.3308,,,,,,
NLD,Netherlands,1998,3679751.059,2868143.816,12009.28015,218663.5086,795595.2373,,,,,,
NLD,Netherlands,1999,4139649.167,3109150.147,9929.86207,246039.9158,931200.399,,,,,,
NLD,Netherlands,2001,4622023.298,3710248.329,11078.67521,262564.6025,982678.4913,,,,,,
NLD,Netherlands,2003,4639622.527,3982369.65,16188.49451,209371.1957,1024192.086,,,,,,
NLD,Netherlands,2005,5044926.149,4231228.383,27866.36185,280892.9274,1307489.698,,,,,,
NLD,Netherlands,2007,5856948.814,4565982.098,22057.88453,282108.7338,1279357.303,,,,,,
NLD,Netherlands,2009,5545831.892,5022996.496,35406.46026,346983.3106,1332463.121,,,,,,
NLD,Netherlands,2011,7480627.702,4966955.919,46116.03165,483635.8417,1657052.98,,4347561.493,5894062.065,4392764.917,,2543521.138
NLD,Netherlands,2012,7825531.776,4921571.6,63950.13149,465997.4188,1900647.495,,4218987.443,6578064.502,4380646.476,,2502939.079
NLD,Netherlands,2013,8171298.334,5331424.738,46398.1842,489312.7426,1945131.012,,4519553.073,7335238.167,4128786.311,,2643768.536
NLD,Netherlands,2014,8458318.203,5493086.413,28003.73849,481547.755,2095039.512,,4541931.362,7648331.093,4365734.415,,2778063.946
NLD,Netherlands,2015,8241928.795,5645683.976,28557.45138,446986.1956,2560237.598,,,,,,
NOR,Norway,1997,991164.6273,861018.8289,6630.86002,18160.39201,129627.2453,,,,,,
NOR,Norway,1999,1084089.072,931155.0012,13130.48546,21370.69989,138888.0062,,,,,,
NOR,Norway,2001,1412218.753,1030321.254,13133.46286,25250.77593,189877.9681,,,,,,
NOR,Norway,2003,1493337.863,1199741.84,18754.95956,24402.08114,219303.7946,,540038.5807,1002266.342,1413235.615,,
NOR,Norway,2005,1532669.332,1427196.985,22142.75212,29505.16168,264302.7298,,650745.9465,1192854.709,1432205.2,,
NOR,Norway,2007,1852417.662,1849630.893,25640.50909,39663.88661,347898.396,,,,,,
